Group,Sex,Age_Group,MetS_Status,Priority_Rank,Food,Food_Category,Risk_Score,Direct_Effect,Network_Centrality,Indirect_Effect,Current_Intake,N_Connections,Risk_Reason,Education_Message,Alternative_Foods,Action_Plan,Age_Specific,Sex_Specific
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),2,Processed Foods,Unhealthy,0.5736974932473148,0.027673940531482866,1.0,0.8754263901157389,1.6578007145692735,11,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.88),가공식품 섭취를 줄이세요,"신선한 고기, 생선, 계란",가공되지 않은 신선식품 선택,바쁜 일상에서도 실천 가능한 간편한 방법 활용,골다공증 예방을 위해 칼슘 섭취 중요
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),3,Vegetables,Healthy,0.5195671811686785,0.038361980590986985,0.8181818181818182,0.8625594782591275,2.556570067487098,9,전체 식습관 패턴의 핵심 허브 (중심성=0.82); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.86),채소 섭취를 늘리세요,다양한 색깔의 채소,매 끼니 채소 반찬 추가,바쁜 일상에서도 실천 가능한 간편한 방법 활용,골다공증 예방을 위해 칼슘 섭취 중요
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),1,Vegetables,Healthy,0.614444130741105,0.03611032685276273,1.0,1.0,2.597045338767193,11,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),채소 섭취를 늘리세요,다양한 색깔의 채소,매 끼니 채소 반찬 추가,바쁜 일상에서도 실천 가능한 간편한 방법 활용,음주 시 안주 선택에 주의
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),2,Processed Foods,Unhealthy,0.5764967448495661,0.025078581263190132,0.9090909090909092,0.979126798723391,1.7600611309220582,10,전체 식습관 패턴의 핵심 허브 (중심성=0.91); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.98),가공식품 섭취를 줄이세요,"신선한 고기, 생선, 계란",가공되지 않은 신선식품 선택,바쁜 일상에서도 실천 가능한 간편한 방법 활용,음주 시 안주 선택에 주의
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),3,Salty Food Consumption,Unhealthy,0.5726137479039446,0.05942317511889054,0.9090909090909092,0.9203906837637187,1.8028527763627102,10,전체 식습관 패턴의 핵심 허브 (중심성=0.91); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.92),소금 섭취를 줄이세요,"마늘, 생강, 허브, 레몬즙",천연 향신료로 맛내기,바쁜 일상에서도 실천 가능한 간편한 방법 활용,음주 시 안주 선택에 주의
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),1,Protein Foods,Healthy,0.5770996935020128,0.036499233755032064,0.875,1.0,3.0081967213114753,7,전체 식습관 패턴의 핵심 허브 (중심성=0.88); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",매 끼니 단백질 식품 포함,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,음주 시 안주 선택에 주의
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),2,Salty Food Consumption,Unhealthy,0.5606342170190071,0.02769282190278145,0.875,0.956856960859648,1.6420765027322404,7,전체 식습관 패턴의 핵심 허브 (중심성=0.88); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.96),소금 섭취를 줄이세요,"마늘, 생강, 허브, 레몬즙",천연 향신료로 맛내기,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,음주 시 안주 선택에 주의
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),3,Sugar-Sweetened Beverages,Unhealthy,0.5044860047588835,0.013745940058218803,1.0,0.6632920957853201,1.2322404371584699,8,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.66),당류 음료 섭취를 줄이세요,"물, 보리차, 녹차, 탄산수",음료 대신 물 섭취 습관화,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,음주 시 안주 선택에 주의
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),1,Salty Food Consumption,Unhealthy,0.5907887406917368,0.051971851729341975,0.9,1.0,1.5467695274831244,9,전체 식습관 패턴의 핵심 허브 (중심성=0.90); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),소금 섭취를 줄이세요,"마늘, 생강, 허브, 레몬즙",천연 향신료로 맛내기,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,골다공증 예방을 위해 칼슘 섭취 중요
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),2,Additional Salt Use,Unhealthy,0.568307038042456,0.05487299055459668,1.0,0.8211928060687244,1.3809064609450337,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.82),소금 섭취를 줄이세요,"마늘, 생강, 허브, 레몬즙",천연 향신료로 맛내기,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,골다공증 예방을 위해 칼슘 섭취 중요
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),3,Protein Foods,Healthy,0.5676727948720369,0.031284613694306254,1.0,0.8505298313143814,2.9710703953712634,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.85),양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",매 끼니 단백질 식품 포함,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,골다공증 예방을 위해 칼슘 섭취 중요
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),1,Salty Food Consumption,Unhealthy,0.5887595330850843,0.04689883271271075,0.9,1.0,1.7650397275822929,9,전체 식습관 패턴의 핵심 허브 (중심성=0.90); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),소금 섭취를 줄이세요,"마늘, 생강, 허브, 레몬즙",천연 향신료로 맛내기,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,음주 시 안주 선택에 주의
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),2,Sweet Food Consumption,Healthy,0.5415484204737538,0.03520924921261672,0.9,0.8582157359623571,1.8989784335981839,9,전체 식습관 패턴의 핵심 허브 (중심성=0.90); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.86),Sweet Food Consumption 섭취에 주의하세요,균형잡힌 식단,식습관 점검,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,음주 시 안주 선택에 주의
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),3,Fried Foods,Unhealthy,0.5385776916287256,0.027998400117873967,1.0,0.7579277719385867,1.2338251986379114,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.76),튀김 음식 섭취를 줄이세요,"구운 닭가슴살, 생선구이, 채소찜","튀김 대신 굽기, 찌기 조리법 사용",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,음주 시 안주 선택에 주의
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),1,Protein Foods,Healthy,0.5943847071944299,0.03603732896611187,1.0,0.9332325853599509,2.9472295514511875,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.93),양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",매 끼니 단백질 식품 포함,만성질환 예방을 위해 지금부터 식습관 개선이 중요,골다공증 예방을 위해 칼슘 섭취 중요
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),2,Sweet Food Consumption,Healthy,0.5689512935790186,0.0685597822175324,1.0,0.8050912689733524,2.0606860158311346,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.81),Sweet Food Consumption 섭취에 주의하세요,균형잡힌 식단,식습관 점검,만성질환 예방을 위해 지금부터 식습관 개선이 중요,골다공증 예방을 위해 칼슘 섭취 중요
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),3,Sugar-Sweetened Beverages,Unhealthy,0.5632802416925402,0.06261993202735766,1.0,0.794107562938657,1.274406332453826,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.79),당류 음료 섭취를 줄이세요,"물, 보리차, 녹차, 탄산수",음료 대신 물 섭취 습관화,만성질환 예방을 위해 지금부터 식습관 개선이 중요,골다공증 예방을 위해 칼슘 섭취 중요
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),1,Protein Foods,Healthy,0.5462728584129686,0.015682146032421677,0.7999999999999999,1.0,2.851170568561873,8,전체 식습관 패턴의 핵심 허브 (중심성=0.80); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",매 끼니 단백질 식품 포함,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,골다공증 예방을 위해 칼슘 섭취 중요
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),2,Processed Foods,Unhealthy,0.5441387182376938,0.04138568737877541,1.0,0.7586148109539455,1.1638795986622072,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.76),가공식품 섭취를 줄이세요,"신선한 고기, 생선, 계란",가공되지 않은 신선식품 선택,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,골다공증 예방을 위해 칼슘 섭취 중요
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),3,Sweet Food Consumption,Healthy,0.4559333062267422,0.03729445509783706,0.9,0.5700517472920245,1.8645484949832776,9,전체 식습관 패턴의 핵심 허브 (중심성=0.90); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.57),Sweet Food Consumption 섭취에 주의하세요,균형잡힌 식단,식습관 점검,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법 선택,골다공증 예방을 위해 칼슘 섭취 중요
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),1,Vegetables,Healthy,0.6066328493317954,0.016582123329488614,1.0,1.0,2.565891472868217,10,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),채소 섭취를 늘리세요,다양한 색깔의 채소,매 끼니 채소 반찬 추가,바쁜 일상에서도 실천 가능한 간편한 방법 활용,음주 시 안주 선택에 주의
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),2,Processed Foods,Unhealthy,0.5128816676022835,0.04110733155034012,0.9,0.7547957832738247,1.7965116279069768,9,전체 식습관 패턴의 핵심 허브 (중심성=0.90); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.75),가공식품 섭취를 줄이세요,"신선한 고기, 생선, 계란",가공되지 않은 신선식품 선택,바쁜 일상에서도 실천 가능한 간편한 방법 활용,음주 시 안주 선택에 주의
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),3,Fried Foods,Unhealthy,0.4547073734844319,0.03614809757410522,0.7999999999999999,0.6674937815159662,1.7093023255813953,8,전체 식습관 패턴의 핵심 허브 (중심성=0.80); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.67),튀김 음식 섭취를 줄이세요,"구운 닭가슴살, 생선구이, 채소찜","튀김 대신 굽기, 찌기 조리법 사용",바쁜 일상에서도 실천 가능한 간편한 방법 활용,음주 시 안주 선택에 주의
