Group,Sex,Age_Group,MetS_Status,N_Samples,Priority_Level,Network_Message,Intervention_Rank,Target_Food,Centrality,Current_Intake,Food_Category,Message,Alternative,Age_Specific,Sex_Specific
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),1963,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",2,Vegetables,1.0,2.597045338767193,healthy,채소 섭취를 늘리세요 (하루 5접시 이상 목표),다양한 색깔의 채소를 매 끼니마다,바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),1963,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",3,Processed Foods,0.9090909090909092,1.7600611309220582,unhealthy,"가공식품(햄, 소시지 등) 섭취를 줄이고 신선식품을 선택하세요","신선한 고기, 생선, 계란",바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),598,HIGH,개별 식품군의 독립적 관리가 가능합니다,1,Processed Foods,0.9090909090909092,1.1638795986622072,unhealthy,"가공식품(햄, 소시지 등) 섭취를 줄이고 신선식품을 선택하세요","신선한 고기, 생선, 계란",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),598,HIGH,개별 식품군의 독립적 관리가 가능합니다,2,Sweet Food Consumption,0.8181818181818182,1.8645484949832776,healthy,Sweet Food Consumption 섭취 패턴 개선이 필요합니다,균형잡힌 식단,건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),598,HIGH,개별 식품군의 독립적 관리가 가능합니다,3,Protein Foods,0.7272727272727273,2.851170568561873,healthy,양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),1037,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",1,Protein Foods,0.9090909090909092,2.9710703953712634,healthy,양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),1037,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",2,Fruits,0.9090909090909092,2.595949855351977,healthy,과일 섭취를 늘리세요 (하루 2-3회),"제철 과일, 통과일 섭취",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),1037,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",3,Additional Salt Use,0.9090909090909092,1.3809064609450337,unhealthy,소금 섭취를 줄이고 천연 향신료로 간을 하세요,"마늘, 생강, 허브, 레몬즙",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),758,HIGH,개별 식품군의 독립적 관리가 가능합니다,1,Protein Foods,0.9090909090909092,2.9472295514511875,healthy,양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),758,HIGH,개별 식품군의 독립적 관리가 가능합니다,2,Sugar-Sweetened Beverages,0.9090909090909092,1.274406332453826,unhealthy,당류 음료를 줄이고 물이나 무가당 음료로 대체하세요,"물, 보리차, 녹차, 탄산수",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),758,HIGH,개별 식품군의 독립적 관리가 가능합니다,3,Additional Salt Use,0.9090909090909092,1.4063324538258575,unhealthy,소금 섭취를 줄이고 천연 향신료로 간을 하세요,"마늘, 생강, 허브, 레몬즙",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),5629,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",1,Protein Foods,1.0,2.9417303251021494,healthy,양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),5629,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",2,Vegetables,1.0,2.7765144785930005,healthy,채소 섭취를 늘리세요 (하루 5접시 이상 목표),다양한 색깔의 채소를 매 끼니마다,만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),5629,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",3,Processed Foods,1.0,1.4356013501510037,unhealthy,"가공식품(햄, 소시지 등) 섭취를 줄이고 신선식품을 선택하세요","신선한 고기, 생선, 계란",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),2519,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",1,Processed Foods,1.0,1.6578007145692735,unhealthy,"가공식품(햄, 소시지 등) 섭취를 줄이고 신선식품을 선택하세요","신선한 고기, 생선, 계란",바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),2519,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",2,Salty Food Consumption,1.0,1.687574434299325,unhealthy,소금 섭취를 줄이고 천연 향신료로 간을 하세요,"마늘, 생강, 허브, 레몬즙",바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),2519,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",3,Protein Foods,0.9090909090909092,2.9408495434696307,healthy,양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,골다공증 예방을 위해 칼슘 섭취에 신경쓰세요
